,Acc,Neig,Dis
0,0.9795670995670994,3,manh
1,0.9790476190476192,3,euc
2,0.9696969696969697,3,cheb
3,0.9790476190476189,3,cos
4,0.9799134199134197,5,manh
5,0.9787878787878788,5,euc
6,0.9717748917748917,5,cheb
7,0.9799134199134197,5,cos
8,0.97991341991342,7,manh
9,0.9791341991341993,7,euc
10,0.9720346320346319,7,cheb
11,0.9804329004329005,7,cos
12,0.97991341991342,9,manh
13,0.9792207792207794,9,euc
14,0.9722943722943722,9,cheb
15,0.9808658008658009,9,cos
16,0.9803463203463203,11,manh
17,0.9790476190476192,11,euc
18,0.9708225108225108,11,cheb
19,0.9815584415584414,11,cos
20,0.9803463203463203,13,manh
21,0.98008658008658,13,euc
22,0.9709090909090909,13,cheb
23,0.9810389610389609,13,cos
24,0.9811255411255411,15,manh
25,0.9797402597402597,15,euc
26,0.9697835497835499,15,cheb
27,0.9805194805194806,15,cos
28,0.980952380952381,17,manh
29,0.9793073593073593,17,euc
30,0.9691774891774891,17,cheb
31,0.98008658008658,17,cos
32,0.9797402597402597,19,manh
33,0.9795670995670995,19,euc
34,0.9692640692640694,19,cheb
35,0.98008658008658,19,cos
36,0.9795670995670995,21,manh
37,0.9801731601731601,21,euc
38,0.9682251082251081,21,cheb
39,0.9795670995670995,21,cos
40,0.9791341991341993,23,manh
41,0.98008658008658,23,euc
42,0.9683116883116882,23,cheb
43,0.9797402597402598,23,cos
44,0.9792207792207794,25,manh
45,0.9795670995670995,25,euc
46,0.968051948051948,25,cheb
47,0.9794805194805196,25,cos
48,0.9789610389610388,27,manh
49,0.9788744588744589,27,euc
50,0.9674458874458874,27,cheb
51,0.9795670995670995,27,cos
52,0.9793073593073593,29,manh
53,0.978961038961039,29,euc
54,0.9670995670995671,29,cheb
55,0.97991341991342,29,cos
56,0.978961038961039,31,manh
57,0.9789610389610388,31,euc
58,0.9666666666666668,31,cheb
59,0.9794805194805196,31,cos
60,0.9788744588744589,33,manh
61,0.978961038961039,33,euc
62,0.9654545454545455,33,cheb
63,0.9796536796536796,33,cos
